Sources,Targets,Victim Accuracy,Victim WM Success Rate,Extracted Accuracy,Extracted WM Success Rate,Baseline Accuracy,Baseline WM Success Rate
[8],[0, 5],0.9846833879128098,[1.0, 0.0],0.984375,[0.41175426136363635, 0.01455965909090909],0.9896175982430577,[0.011896306818181818, 0.011008522727272728]
[9],[0, 3],0.9827302638441324,[1.0, 0.0],0.9876644732430577,[0.36487926136363635, 0.05788352272727273],0.9896175982430577,[0.003728693181818182, 0.0]
[9],[0, 4],0.9825246706604958,[1.0, 0.0],0.9830386508256197,[0.494140625, 0.020951704545454544],0.9896175982430577,[0.01083096590909091, 0.0005326704545454545]
[9],[0, 5],0.984375,[1.0, 0.0],0.9825246706604958,[0.3123224431818182, 0.15891335227272727],0.9896175982430577,[0.006392045454545455, 0.06587357954545454]
[9],[0, 6],0.9822162836790085,[1.0, 0.0],0.9822162836790085,[0.19691051136363635, 0.6095525568181818],0.9896175982430577,[0.006036931818181818, 0.0014204545454545455]
[9],[0, 7],0.9848889801651239,[1.0, 0.0],0.9826274663209915,[0.08718039772727272, 0.06676136363636363],0.9896175982430577,[0.005681818181818182, 0.0001775568181818182]
[9],[0, 8],0.9846833879128098,[1.0, 0.0],0.982421875,[0.01953125, 0.20152698863636365],0.9896175982430577,[0.0017755681818181818, 0.001953125]
[9],[2, 3],0.9839638154953718,[1.0, 0.0],0.9857113482430577,[0.6361860795454546, 0.04332386363636364],0.9896175982430577,[0.015092329545454546, 0.0]
[9],[2, 4],0.9838610198348761,[1.0, 0.0],0.9855057569220662,[0.05788352272727273, 0.002130681818181818],0.9896175982430577,[0.005681818181818182, 0.0005326704545454545]
[9],[2, 5],0.9853001646697521,[1.0, 0.0],0.9845805922523141,[0.08629261363636363, 0.10227272727272728],0.9896175982430577,[0.021129261363636364, 0.01171875]
[9],[2, 6],0.9821134861558676,[1.0, 0.0],0.9787212163209915,[0.154296875, 0.6097301136363636],0.9896175982430577,[0.002840909090909091, 0.0026633522727272725]
[9],[2, 7],0.9833470396697521,[1.0, 0.0],0.9829358551651239,[0.2966974431818182, 0.023082386363636364],0.9896175982430577,[0.015269886363636364, 0.0]
[9],[2, 8],0.9842722043395042,[1.0, 0.0],0.9851973680779338,[0.15252130681818182, 0.19957386363636365],0.9896175982430577,[0.005504261363636364, 0.0007102272727272727]
[9],[3, 4],0.9832442440092564,[1.0, 0.0],0.984375,[0.12162642045454546, 0.16974431818181818],0.9896175982430577,[0.0, 0.006392045454545455]
[9],[3, 5],0.9842722043395042,[1.0, 0.0],0.9862253293395042,[0.06605113636363637, 0.16566051136363635],0.9896175982430577,[0.0, 0.05078125]
[9],[3, 6],0.9818050991743803,[1.0, 0.0],0.9814967103302479,[0.054509943181818184, 0.5886008522727273],0.9896175982430577,[0.0, 0.003018465909090909]
[9],[3, 7],0.9836554285138845,[1.0, 0.0],0.9845805922523141,[0.2858664772727273, 0.09676846590909091],0.9896175982430577,[0.0, 0.005326704545454545]
[9],[3, 8],0.9842722043395042,[1.0, 0.0],0.986328125,[0.026278409090909092, 0.31605113636363635],0.9896175982430577,[0.0, 0.0012428977272727273]
[9],[4, 5],0.9842722043395042,[1.0, 0.0],0.9862253293395042,[0.12091619318181818, 0.4030539772727273],0.9896175982430577,[0.0001775568181818182, 0.09286221590909091]
[9],[4, 6],0.984375,[1.0, 0.0],0.9826274663209915,[0.03125, 0.5001775568181818],0.9896175982430577,[0.0012428977272727273, 0.008522727272727272]
[9],[4, 7],0.9827302638441324,[1.0, 0.0],0.9799547698348761,[0.0017755681818181818, 0.5250355113636364],0.9896175982430577,[0.0001775568181818182, 0.005504261363636364]
[9],[4, 8],0.9853001646697521,[1.0, 0.0],0.9872532896697521,[0.12180397727272728, 0.19921875],0.9896175982430577,[0.0, 0.002130681818181818]
[9],[5, 6],0.9803659543395042,[1.0, 0.0],0.9835526309907436,[0.308984375, 0.121484375],0.9896175982430577,[0.049609375, 0.0001953125]
[9],[5, 7],0.9832442440092564,[1.0, 0.0],0.9874588819220662,[0.0384765625, 0.2392578125],0.9896175982430577,[0.0248046875, 0.0017578125]
[9],[5, 8],0.9828330595046282,[1.0, 0.0],0.9840666111558676,[0.025390625, 0.1126953125],0.9896175982430577,[0.0138671875, 0.0125]
[9],[6, 7],0.9814967103302479,[1.0, 0.0],0.9822162836790085,[0.1670809659090909, 0.06551846590909091],0.9896175982430577,[0.0005326704545454545, 0.0003551136363636364]
[9],[6, 8],0.9864309206604958,[1.0, 0.0],0.9857113482430577,[0.5198863636363636, 0.02947443181818182],0.9896175982430577,[0.0, 0.0014204545454545455]
